Country;category;Approved
Bangladesh;coastal zones;25
Bangladesh;infrastructure;20
Bangladesh;infrastructure;10
Bangladesh;education/capacity building;5,65
Bangladesh;coastal zones;3,3
Bangladesh;coastal zones;0,6
Bangladesh;education/capacity building;0,5
Bangladesh;coastal zones;0,4
Bangladesh;cross-sector ;0,2
Niger;education/capacity building;35
Niger;education/capacity building;28
Niger;water resources;12,5
Niger;early warning systems and disaster management;9,5
Niger;water resources;9,5
Niger;food security;3,8
Niger;education/capacity building;3,75
Niger;education/capacity building;3,5
Niger;early warning systems and disaster management;3,5
Niger;cross-sector ;0,2
