country;category;USD
Bangladesh;COASTAL ZONES AND MARINE ECOSYSTEMS;23000000
Bangladesh;EDUCATION/ CAPACITY BUILDING;7050000
Bangladesh;FOOD SECURITY;6550000
Bangladesh;FOOD SECURITY;6550000
Bangladesh;CROSS-SECTORIAL;5050000
Bangladesh;FOOD SECURITY;5050000
Bangladesh;EDUCATION/ CAPACITY BUILDING;5050000
Bangladesh;EDUCATION/ CAPACITY BUILDING;5050000
Bangladesh;FOOD SECURITY;4550000
Bangladesh;FOOD SECURITY;4550000
Bangladesh;INFRASTRUCTURE;2025000
Bangladesh;WATER RESOURCES;1525000
Bangladesh;CROSS-SECTORIAL;1025000
Bangladesh;EDUCATION/ CAPACITY BUILDING;525000
Bangladesh;INSURANCE;225000
Cambodia;WATER RESOURCES;45000000
Cambodia;INFRASTRUCTURE;30000000
Cambodia;INFRASTRUCTURE;10000000
Cambodia;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;5000000
Cambodia;INFRASTRUCTURE;5000000
Cambodia;WATER RESOURCES;5000000
Cambodia;FOOD SECURITY;4000000
Cambodia;INFRASTRUCTURE;4000000
Cambodia;TERRESTRIAL ECOSYSTEMS;4000000
Cambodia;HEALTH;3000000
Cambodia;FOOD SECURITY;2500000
Cambodia;INFRASTRUCTURE;2500000
Cambodia;FOOD SECURITY;2000000
Cambodia;INFRASTRUCTURE;2000000
Cambodia;INFRASTRUCTURE;1500000
Cambodia;COASTAL ZONES AND MARINE ECOSYSTEMS;1000000
Cambodia;WATER RESOURCES;1000000
Cambodia;HEALTH;750000
Cambodia;HEALTH;500000
Cambodia;HEALTH;100000
Cape Verde;WATER RESOURCES;13680000
Cape Verde;FOOD SECURITY;1500000
Cape Verde;COASTAL ZONES AND MARINE ECOSYSTEMS;1500000
Democratic Republic of Congo;ENERGY;10577520
Democratic Republic of Congo;FOOD SECURITY;5658760
Democratic Republic of Congo;COASTAL ZONES AND MARINE ECOSYSTEMS;239374
Lao PDR;FOOD SECURITY;12600000
Lao PDR;WATER RESOURCES;2350000
Lao PDR;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;2200000
Lao PDR;WATER RESOURCES;2100000
Lao PDR;EDUCATION/ CAPACITY BUILDING;1000000
Lao PDR;TERRESTRIAL ECOSYSTEMS;900000
Lao PDR;FOOD SECURITY;738000
Lao PDR;WATER RESOURCES;650000
Lao PDR;WATER RESOURCES;440000
Lao PDR;EDUCATION/ CAPACITY BUILDING;300000
Lao PDR;EDUCATION/ CAPACITY BUILDING;200000
Lao PDR;EDUCATION/ CAPACITY BUILDING;100000
Liberia;COASTAL ZONES AND MARINE ECOSYSTEMS;60000000
Liberia;FOOD SECURITY;5000000
Liberia;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;3000000
Mali;FOOD SECURITY;25760000
Mali;ENERGY;5000000
Mali;TERRESTRIAL ECOSYSTEMS;3000000
Mali;CROSS-SECTORIAL;2000000
Mali;EDUCATION/ CAPACITY BUILDING;2000000
Mali;ENERGY;2000000
Mali;TERRESTRIAL ECOSYSTEMS;2000000
Mali;ENERGY;1500000
Mali;TERRESTRIAL ECOSYSTEMS;1500000
Mali;WATER RESOURCES;1500000
Mali;FOOD SECURITY;500000
Mali;FOOD SECURITY;500000
Mali;EDUCATION/ CAPACITY BUILDING;500000
Mali;HEALTH;500000
Mali;FOOD SECURITY;350000
Mali;FOOD SECURITY;350000
Mali;FOOD SECURITY;300000
Mali;WATER RESOURCES;280000
Mali;FOOD SECURITY;220000
Nepal;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;60000000
Nepal;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;55000000
Nepal;CROSS-SECTORIAL;50000000
Nepal;FOOD SECURITY;44000000
Nepal;WATER RESOURCES;40000000
Nepal;TERRESTRIAL ECOSYSTEMS;31000000
Nepal;EDUCATION/ CAPACITY BUILDING;30000000
Nepal;TERRESTRIAL ECOSYSTEMS;25000000
Nepal;HEALTH;15000
Senegal;COASTAL ZONES AND MARINE ECOSYSTEMS;40624000
Senegal;TERRESTRIAL ECOSYSTEMS;4930000
Senegal;TERRESTRIAL ECOSYSTEMS;4600000
Senegal;TERRESTRIAL ECOSYSTEMS;1108000
Senegal;TERRESTRIAL ECOSYSTEMS;1108000
Senegal;WATER RESOURCES;372000
Senegal;WATER RESOURCES;280000
Senegal;COASTAL ZONES AND MARINE ECOSYSTEMS;240000
Senegal;COASTAL ZONES AND MARINE ECOSYSTEMS;208000
Senegal;EDUCATION/ CAPACITY BUILDING;160000
Senegal;COASTAL ZONES AND MARINE ECOSYSTEMS;116000
Senegal;COASTAL ZONES AND MARINE ECOSYSTEMS;60000
