name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list
Nagmeldin Goutbi Elhassan ,Mr.,Mr. Nagmeldin Goutbi Elhassan ,12
John W. Ashe ,H.E. Mr.,H.E. Mr. John W. Ashe ,11
Alexandre Cabral ,M.,M. Alexandre Cabral ,11
Cheikh Ndiaye Sylla ,M.,M. Cheikh Ndiaye Sylla ,11
Jean Jouzel ,M.,M. Jean Jouzel ,11
Moussa Tchitchaou ,M.,M. Moussa Tchitchaou ,11
Andrej Kranjc ,Mr.,Mr. Andrej Kranjc ,11
Arkadiy Levintanus ,Mr.,Mr. Arkadiy Levintanus ,11
Bas Clabbers ,Mr.,Mr. Bas Clabbers ,11
Bert Metz ,Mr.,Mr. Bert Metz ,11
Brian Phillips ,Mr.,Mr. Brian Phillips ,11
Chanel Iroi ,Mr.,Mr. Chanel Iroi ,11
Christo Artusio ,Mr.,Mr. Christo Artusio ,11
Elmer Holt ,Mr.,Mr. Elmer Holt ,11
Georg BÃ¸rsting ,Mr.,Mr. Georg BÃ¸rsting ,11
Havard Toresen ,Mr.,Mr. Havard Toresen ,11
Helmut Hojesky ,Mr.,Mr. Helmut Hojesky ,11
John Drexhage ,Mr.,Mr. John Drexhage ,11
JÃ³zsef Feiler ,Mr.,Mr. JÃ³zsef Feiler ,11
Jukka Uosukainen ,Mr.,Mr. Jukka Uosukainen ,11
Karsten Sach ,Mr.,Mr. Karsten Sach ,11
Kishan Kumarsingh ,Mr.,Mr. Kishan Kumarsingh ,11
Kiyoto Tanabe ,Mr.,Mr. Kiyoto Tanabe ,11
Klaus Radunsky ,Mr.,Mr. Klaus Radunsky ,11
Maosheng Duan ,Mr.,Mr. Maosheng Duan ,11
Nguyen Khac Hieu ,Mr.,Mr. Nguyen Khac Hieu ,11
Normand Tremblay ,Mr.,Mr. Normand Tremblay ,11
Olivier Arino ,Mr.,Mr. Olivier Arino ,11
Peter Aarup Iversen ,Mr.,Mr. Peter Aarup Iversen ,11
Peter Graham ,Mr.,Mr. Peter Graham ,11
Philip M. Gwage ,Mr.,Mr. Philip M. Gwage ,11
Rajendra Kumar Pachauri ,Mr.,Mr. Rajendra Kumar Pachauri ,11
Riccardo De Lauretis ,Mr.,Mr. Riccardo De Lauretis ,11
Samuel Adeoye Adejuwon ,Mr.,Mr. Samuel Adeoye Adejuwon ,11
Teofilus Mutangeni Nghitila ,Mr.,Mr. Teofilus Mutangeni Nghitila ,11
Theodoulos Mesimeris ,Mr.,Mr. Theodoulos Mesimeris ,11
Thomas Becker ,Mr.,Mr. Thomas Becker ,11
Thomas Loster ,Mr.,Mr. Thomas Loster ,11
Xuedu Lu ,Mr.,Mr. Xuedu Lu ,11
Yerima Peter Tarfa ,Mr.,Mr. Yerima Peter Tarfa ,11
Daniela Romano ,Ms.,Ms. Daniela Romano ,11
Eka Melisa ,Ms.,Ms. Eka Melisa ,11
Ermira Fida ,Ms.,Ms. Ermira Fida ,11
Helen Plume ,Ms.,Ms. Helen Plume ,11
Hongmin Dong ,Ms.,Ms. Hongmin Dong ,11
Izumi Kubota ,Ms.,Ms. Izumi Kubota ,11
Madeleen Helmer ,Ms.,Ms. Madeleen Helmer ,11
Patricia Bliss-Guest ,Ms.,Ms. Patricia Bliss-Guest ,11
Renate Christ ,Ms.,Ms. Renate Christ ,11
Thelma Krug ,Ms.,Ms. Thelma Krug ,11
Visnja Grgasovic ,Ms.,Ms. Visnja Grgasovic ,11
Rodolfo GodÃ­nez Rosales ,Sr.,Sr. Rodolfo GodÃ­nez Rosales ,11
Birama Diarra ,M.,M. Birama Diarra ,10
Georges Gehl ,M.,M. Georges Gehl ,10
Germain Randriasandratana ,M.,M. Germain Randriasandratana ,10
Kadio Ahossane ,M.,M. Kadio Ahossane ,10
Paul Watkinson ,M.,M. Paul Watkinson ,10
Adriano Santhiago de Oliveira ,Mr.,Mr. Adriano Santhiago de Oliveira ,10
Alan Miller ,Mr.,Mr. Alan Miller ,10
Alden Meyer ,Mr.,Mr. Alden Meyer ,10
Amjad Abdulla ,Mr.,Mr. Amjad Abdulla ,10
AndrÃ© Jol ,Mr.,Mr. AndrÃ© Jol ,10
Andrei Marcu ,Mr.,Mr. Andrei Marcu ,10
Aram Gabrielyan ,Mr.,Mr. Aram Gabrielyan ,10
Artur Runge-Metzger ,Mr.,Mr. Artur Runge-Metzger ,10
Christoph Bals ,Mr.,Mr. Christoph Bals ,10
Corrado Clini ,Mr.,Mr. Corrado Clini ,10
Daniel A. Reifsnyder ,Mr.,Mr. Daniel A. Reifsnyder ,10
David Hone ,Mr.,Mr. David Hone ,10
Elliot Diringer ,Mr.,Mr. Elliot Diringer ,10
Eric Holdsworth ,Mr.,Mr. Eric Holdsworth ,10
Eugene Hendrick ,Mr.,Mr. Eugene Hendrick ,10
Faizal Parish ,Mr.,Mr. Faizal Parish ,10
Giacomo Valentini ,Mr.,Mr. Giacomo Valentini ,10
Hans-Holger Rogner ,Mr.,Mr. Hans-Holger Rogner ,10
Harald Winkler ,Mr.,Mr. Harald Winkler ,10
Hardiv Harris Situmeang ,Mr.,Mr. Hardiv Harris Situmeang ,10
Henry Derwent ,Mr.,Mr. Henry Derwent ,10
Hironori Hamanaka ,Mr.,Mr. Hironori Hamanaka ,10
Hugi Ã“lafsson ,Mr.,Mr. Hugi Ã“lafsson ,10
Ilkka Savolainen ,Mr.,Mr. Ilkka Savolainen ,10
Jack Schick ,Mr.,Mr. Jack Schick ,10
Jawed Ali Khan ,Mr.,Mr. Jawed Ali Khan ,10
Ji Zou ,Mr.,Mr. Ji Zou ,10
Joachim Ehrenberg ,Mr.,Mr. Joachim Ehrenberg ,10
John Kadyszewski ,Mr.,Mr. John Kadyszewski ,10
Jonathan Pershing ,Mr.,Mr. Jonathan Pershing ,10
Jos Delbeke ,Mr.,Mr. Jos Delbeke ,10
JÃ¼rgen Lefevere ,Mr.,Mr. JÃ¼rgen Lefevere ,10
Kanat A. Baigarin ,Mr.,Mr. Kanat A. Baigarin ,10
Kunihiko Shimada ,Mr.,Mr. Kunihiko Shimada ,10
Lasse Nord ,Mr.,Mr. Lasse Nord ,10
Louis Vincent Verchot ,Mr.,Mr. Louis Vincent Verchot ,10
Luiz Pinguelli Rosa ,Mr.,Mr. Luiz Pinguelli Rosa ,10
Makoto Kato ,Mr.,Mr. Makoto Kato ,10
Malte Meinshausen ,Mr.,Mr. Malte Meinshausen ,10
Manfred Treber ,Mr.,Mr. Manfred Treber ,10
Marcelo Theoto Rocha ,Mr.,Mr. Marcelo Theoto Rocha ,10
Mark Lutes ,Mr.,Mr. Mark Lutes ,10
Matthias Duwe ,Mr.,Mr. Matthias Duwe ,10
Michel Jarraud ,Mr.,Mr. Michel Jarraud ,10
Mohamed Hamel ,Mr.,Mr. Mohamed Hamel ,10
Morihiro Kurushima ,Mr.,Mr. Morihiro Kurushima ,10
Naoki Matsuo ,Mr.,Mr. Naoki Matsuo ,10
Nick Campbell ,Mr.,Mr. Nick Campbell ,10
Patrick Finnegan ,Mr.,Mr. Patrick Finnegan ,10
Reinhard Wolf ,Mr.,Mr. Reinhard Wolf ,10
Reinhold Pape ,Mr.,Mr. Reinhold Pape ,10
Richard J. T. Klein ,Mr.,Mr. Richard J. T. Klein ,10
Robert Dixon ,Mr.,Mr. Robert Dixon ,10
Robert Kofi Bamfo ,Mr.,Mr. Robert Kofi Bamfo ,10
Saleemul Huq ,Mr.,Mr. Saleemul Huq ,10
Sanjay Vashist ,Mr.,Mr. Sanjay Vashist ,10
Srinivasan Ancha ,Mr.,Mr. Srinivasan Ancha ,10
Stephen Daniel Eule ,Mr.,Mr. Stephen Daniel Eule ,10
Subodh Kumar Sharma ,Mr.,Mr. Subodh Kumar Sharma ,10
Syamphone Sengchandala ,Mr.,Mr. Syamphone Sengchandala ,10
Tadashi Okimura ,Mr.,Mr. Tadashi Okimura ,10
Thomas HÃ¤usler ,Mr.,Mr. Thomas HÃ¤usler ,10
