Country,Adaptation_Fund,LDC_Fund,Pilot_programme,Special_Climate_Change_Fund,Total,Germanwatch_inverse,Dara_inverse,Gain_inverse,Human_Development_Index
Afghanistan,0,14200000,0,0,14200000,106,11,151,175
Albania,0,0,0,1900000,1900000,3,2,63,70
Angola,0,12970000,0,0,12970000,94,13,127,148
Argentina,9940000,0,0,0,9940000,92,1,1,45
Azerbaijan,0,0,0,2700000,2700000,19,2,30,82
Bangladesh,0,9150000,56500000,0,65650000,80,14,119,146
Benin,0,14500000,0,0,14500000,27,13,125,166
Bhutan,0,15140000,0,0,15140000,1,12,94,140
Bolivia,0,0,1500003,0,1500003,113,10,72,108
Burkina Faso,0,23100000,0,0,23100000,74,12,131,183
Burundi,0,12000000,0,0,12000000,71,15,149,178
Cambodia,4940000,13700000,55600002,0,74240002,130,11,124,138
Cameroon,0,0,0,4030000,4030000,66,12,104,150
Cape Verde,0,3200000,0,0,3200000,1,8,37,132
Central African Republic,0,2980000,0,0,2980000,24,18,144,180
Chad,0,200000,0,0,200000,73,13,143,184
China,0,0,0,5000000,5000000,112,2,45,101
Colombia,8520000,0,0,4220000,12740000,111,3,14,91
Comoros,0,12590000,0,0,12590000,1,16,97,169
Cook Islands,5380000,0,0,0,5380000,1,,,
Democratic Republic of Congo,0,8560000,0,0,8560000,40,14,147,186
Djibouti,4660000,11560000,0,0,16220000,1,9,100,164
Dominica,0,0,310000,0,310000,26,14,79,72
Ecuador,7450000,0,0,3000000,10450000,45,3,28,89
Egypt,6900000,0,0,4000000,10900000,1,2,17,112
Equatorial Guinea,0,200000,0,0,200000,1,10,87,136
Eritrea,6520000,200000,0,0,6720000,1,7,113,181
Ethiopia,0,10410000,0,1000000,11410000,9,8,139,173
Gambia,0,18030000,0,0,18030000,23,17,114,165
Georgia,5320000,0,0,5300000,10620000,88,5,40,72
Ghana,0,0,0,4220000,4220000,89,9,105,135
Global,0,2840000,0,18580000,21420000,,,,
Grenada,0,0,16470000,0,16470000,1,13,54,63
Guatemala,5430000,0,0,0,5430000,,6,62,133
Guinea,0,14890000,0,0,14890000,34,19,140,178
Guinea-Bissau,0,4200000,0,0,4200000,1,19,129,176
Guyana,0,0,0,3800000,3800000,31,14,88,118
Haiti,0,6430000,450000,0,6880000,95,16,130,161
Honduras,5620000,0,0,3000000,8620000,121,13,81,120
India,0,0,0,9820000,9820000,115,13,99,136
Indonesia,0,0,0,5000000,5000000,71,6,41,121
Jamaica,9960000,0,510001,0,10470001,48,15,65,85
Jordan,0,0,0,2000000,2000000,1,2,38,100
Kenya,0,0,0,6500000,6500000,63,5,128,145
Kiribati,0,7650000,0,0,7650000,1,11,,121
Kyrgyzstan,0,0,0,5000000,5000000,38,4,75,125
Laos,0,9350000,0,0,9350000,124,,110,138
Lebanon,7860000,0,0,7150000,15010000,21,2,73,72
Lesotho,0,18110000,0,0,18110000,1,3,118,158
Liberia,0,12210000,0,0,12210000,1,17,145,174
Madagascar,5100000,11810000,0,0,16910000,110,19,134,151
Malawi,0,17020000,0,0,17020000,53,14,123,170
Maldives,8990000,6100000,0,0,15090000,1,9,76,104
Mali,0,12940000,0,0,12940000,76,16,141,182
Mauritania,7800000,10300000,0,0,18100000,84,13,107,155
