source;id;projecttitle;year;amount;currency;donor;recipient;recipient_mapped;purpose;sector;sector_mapped
undp_alm;32;Canada-UNDP Climate Change Adaptation Facility;n/a;n/a;USD;;;Non-specific;;agriculture/food security;agriculture / food security
undp_alm;33;Economics of Climate Change Adaptation (ECCA) AFRICA;n/a;n/a;USD;UNDP,Global Water Partnership,Centre for Environmental Economics and Policy in Africa (CEEPA);;Non-specific;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;34;Capacity Building Programme on the Economics of Climate Change Adaptation (ECCA) ;n/a;n/a;USD;UNDP,Asian Development Bank,Centre for Environmental Economics and Policy in Africa (CEEPA),Global Water Partnership,USAID,Yale University;;Non-specific;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;35;Pacific Cost-Benefit Analysis Initiative (P-CBA);n/a;n/a;USD;;;Non-specific;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;36;UNDP expands support to Least Developed Countries accessing climate finance;n/a;n/a;USD;UNDP,Adaptation Fund,GEF;;Non-specific;;;
undp_alm;37;South Sudan National Adaptation Programme of Action (NAPA);n/a;n/a;USD;Ministry of Environment and Sustainable Development, South Sudan,GEF,UNDP;;Non-specific;;;
undp_alm;38;Biodiversity Conservation and Watershed Management in Haiti;n/a;10002900;USD;Ministry of Environment, Government of Haiti,UNDP,GEF;Haiti;Haiti;;water resources;water resources
undp_alm;39;Adaptation to Climate Change through Integrated Water Harvesting Technologies in Yemen;n/a;5387400;USD;Ministry of Water and Environment, Republic of Yemen,UNDP,GEF;Yemen;Yemen;drought/water scarcity;water resources;water resources
undp_alm;40;Adaptation to Climate Change in the Coastal Zone of Vanuatu;n/a;8833000;USD;Vanuatu’s Department of Environmental Protection & Conservation, Ministry of Lands and Natural Resources,UNDP,GEF;Vanuatu;Vanuatu;sea level rise;;
undp_alm;41;Integrating Rio Convention Provisions into Ukraine’s National Environmental Policy Framework;n/a;990000;USD;Ministry of Ecology and Natural Resources, Government of Ukraine,UNDP,GEF;Ukraine;Ukraine;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;42;Addressing Climate Change Vulnerabilities and Risks in Vulnerable Coastal Areas of Tunisia;n/a;6050000;USD;Ministry of Environment, Coastal Protection and Planning Agency (APAL), Government of Tunisia,UNDP,GEF;Tunisia;Tunisia;sea level rise;coastal zone development;coastal zone development
undp_alm;43;Strengthening National and Decentralized Management for Global Environmental Benefits in Togo;n/a;847000;USD;Ministry for the Environment and Forest Resources (MERF), Government of Togo,UNDP,GEF;Togo;Togo;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;44;Strengthening Community Resilience to Climate Induced Natural Disasters in Rural Timor-Leste;n/a;5748750;USD;Ministry of Tourism Trade and Industry of Timor-Leste (MTCI),Ministry of Agriculture and Fisheries, Government of Timor-Leste,Ministry of Social Solidarity, Government of Timor-Leste,Ministry of Public Works, Government of Timor-Leste,UNDP,GEF;Timor-Leste;Timor-Leste;extreme weather events;disaster risk reduction;disaster risk reduction
undp_alm;45;Mainstreaming Global Environment Commitments for Effective National Environmental Management in Suriname;n/a;1078000;USD;Ministry of Labour, Technological Developmen and Environment (ATM), Government  of Suriname,UNDP,GEF;Suriname;Suriname;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;46;Climate Risk Finance for Rain-fed Farming in Sudan;n/a;6270000;USD;Sudan Higher Council for Environment and Natural Resources (HCENR),UNDP,GEF;Sudan;Sudan;drought/water scarcity;disaster risk reduction;disaster risk reduction
undp_alm;47;Mainstreaming global environmental concerns in the post-conflict rapid development of Sri Lanka;n/a;880000;USD;Ministry of  Environment, Sri Lanka,UNDP,GEF;Sri Lanka;Sri Lanka;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;48;Integrating global environment commitments in investment and development decision-making in the Solomon Islands;n/a;935000;USD;Ministry of Environment, Climate Change, Disaster Management and Meteorology, Government of Solomon Islands,UNDP,GEF;Solomon Islands;Solomon Islands;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;49;Enhancing capacities of rural communities to pursue climate resilient livelihood in Sao Tome and Principe;n/a;4200000;USD;Ministry of Infrastructure and Natural Resources, Government of Sao Tome and Principe,UNDP,GEF;Sao Tome and Principe;Sao Tome and Principe;;agriculture/food security;agriculture / food security
undp_alm;50;Capacity Development for Implementing Rio Conventions in Samoa;n/a;550000;USD;Ministry of Natural Resources and Environment (MNRE), Government of Samoa,UNDP,GEF;Samoa;Samoa;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;51;Supporting LDCs to advance National Adaptation Plans (NAPs);n/a;2000000;USD;UNDP,United Nations Environment Programme (UNEP),GEF,UNFCCC Secretariat,WHO,Global Water Partnership,FAO,IFAD,UNITAR,UNISDR;;Non-specific;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;52;Community-Based Adaptation Project;n/a;4500000;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers,Government of Japan,Government of Switzerland,Australian Government;;Non-specific;;;
undp_alm;53;Capacity Development for Improved National and International Environmental Management in Seychelles;n/a;400000;USD;Ministry of Environment and Energy, Government of Seychelles,UNDP,GEF;Seychelles;Seychelles;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;54;Strengthening the resilience of women producer groups and vulnerable communities in Mali;n/a;5460000;USD;Agency for Environment and Sustainable Development (AEDD), Ministry of Environment and Sanitation, Government of Mali,UNDP,GEF;Mali;Mali;;agriculture/food security;agriculture / food security
undp_alm;55;Climate proofing local development gains in Machinga and Mangochi Districts of Malawi;n/a;5850020;USD;Ministries of Local Government, Malawi,UNDP,GEF;Malawi;Malawi;flood;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;56;Implementing adaptation priorities through national development plans in Malawi;n/a;4950000;USD;Ministry of Development Planning and Cooperation, Government of Malawi,UNDP,GEF;Malawi;Malawi;extreme weather events;disaster risk reduction;disaster risk reduction
