source;recipient
undp_alm;
undp_alm;Afghanistan
undp_alm;Albania
undp_alm;Algeria
undp_alm;Angola
undp_alm;Antigua and Barbuda
undp_alm;Argentina
undp_alm;Armenia
undp_alm;Azerbaijan
undp_alm;Bangladesh
undp_alm;Barbados
undp_alm;Belize
undp_alm;Benin
undp_alm;Bhutan
undp_alm;Bolivia
undp_alm;Botswana
undp_alm;Brazil
undp_alm;Bulgaria
undp_alm;Burkina Faso
undp_alm;Burundi
undp_alm;Cambodia
undp_alm;Cape Verde
undp_alm;Central African Republic
undp_alm;Chad
undp_alm;Chile
undp_alm;China
undp_alm;Colombia
undp_alm;Comoros
undp_alm;Cook Islands
undp_alm;Costa Rica
undp_alm;Cote d'Ivoire
undp_alm;Cuba
undp_alm;Democratic Republic of the Congo
undp_alm;Djibouti
undp_alm;Dominica
undp_alm;Dominican Republic
undp_alm;Ecuador
undp_alm;Egypt
undp_alm;El Salvador
undp_alm;Eritrea
undp_alm;Ethiopia
undp_alm;Fiji
undp_alm;Gabon
undp_alm;Gambia
undp_alm;Georgia
undp_alm;Ghana
undp_alm;Grenada
undp_alm;Guatemala
undp_alm;Guinea
undp_alm;Guinea-Bissau
undp_alm;Guyana
undp_alm;Haiti
undp_alm;Honduras
undp_alm;Hungary
undp_alm;India
undp_alm;Indonesia
undp_alm;Iran (Islamic Republic of)
undp_alm;Jamaica
undp_alm;Jordan
undp_alm;Kazakhstan
undp_alm;Kenya
undp_alm;Kiribati
undp_alm;Kyrgyzstan
undp_alm;Lao People's Democratic Republic
undp_alm;Lebanon
undp_alm;Lesotho
undp_alm;Liberia
undp_alm;Malawi
undp_alm;Malaysia
undp_alm;Maldives
undp_alm;Mali
undp_alm;Malta
undp_alm;Marshall Islands
undp_alm;Mauritania
undp_alm;Mauritius
undp_alm;Mexico
undp_alm;Micronesia
undp_alm;Micronesia (Federated States of)
undp_alm;Mongolia
undp_alm;Montenegro
undp_alm;Morocco
undp_alm;Mozambique
undp_alm;Myanmar
undp_alm;Namibia
undp_alm;Nauru
undp_alm;Nepal
undp_alm;Nicaragua
undp_alm;Niger
undp_alm;Nigeria
undp_alm;Niue
undp_alm;Pakistan
undp_alm;Palau
undp_alm;Panama
undp_alm;Papua New Guinea
undp_alm;Paraguay
undp_alm;Peru
undp_alm;Philippines
undp_alm;Republic of Moldova
undp_alm;Rwanda
undp_alm;Saint Kitts and Nevis
undp_alm;Saint Lucia
undp_alm;Saint Vincent and the Grenadines
undp_alm;Samoa
undp_alm;Sao Tome and Principe
undp_alm;Saudi Arabia
undp_alm;Senegal
undp_alm;Serbia
undp_alm;Seychelles
