donor,recipients,purposes,amount
Canada,75,35,371.8104895
Italy,36,29,24.54210517
Czech Republic,3,3,1.215755066
Luxembourg,12,13,3.149203183
France,42,32,677.3198788
Ireland,26,38,49.3162674
Norway,40,33,246.6136149
Australia,49,29,259.6097834
Iceland,3,4,0.863708266
Germany,74,37,542.7550981
Belgium,11,12,8.954777994
EU Institutions,38,16,793.2400456
Spain,53,53,116.2021078
Netherlands,11,17,319.0303848
Denmark,12,8,119.5796216
Finland,20,19,69.08773718
United States,6,4,73.35092288
Sweden,28,38,304.8632003
Korea,63,18,134.9932019
Switzerland,42,29,207.2526664
New Zealand,6,5,8.447498084
Portugal,2,2,0.236467421
United Kingdom,85,32,1090.896539
Austria,15,10,13.45862368
Greece,20,7,4.721843983
Japan,76,37,2169.492071
