donor;nr of projects;total amount;amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;;;
Australia;209;259.6097834;6,3926E-11;;ClimateAdaptation = 2;;;;;;;;;;;;;;
Austria;26;13.45862368;1,1352E-11;;usd_commitment_defl;;;;;;;;;;;;;;
Belgium;28;8.954777994;6,116E-12;;gdp averaged over 2010,2011,2012;;;;;;;;;;;;;;
Canada;342;371.8104895;7,183E-11;;;;;;;;;;;;;;;;
Czech Republic;7;1.215755066;1,99E-12;;;;;;;;;;;;;;;;
Denmark;38;119.5796216;1,2432E-10;;;;;;;;;;;;;;;;
EU Institutions;65;793.2400456;1,567E-11;;;;;;;;;;;;;;;;
Finland;57;69.08773718;9,2765E-11;;;;;;;;;;;;;;;;
France;248;677.3198788;8,5295E-11;;;;;;;;;;;;;;;;
Germany;369;542.7550981;5,2512E-11;;;;;;;;;;;;;;;;
Greece;49;4.721843983;5,682E-12;;;;;;;;;;;;;;;;
Iceland;4;0.863708266;2,1491E-11;;;;;;;;;;;;;;;;
Ireland;251;49.3162674;7,6504E-11;;;;;;;;;;;;;;;;
Italy;75;24.54210517;3,926E-12;;;;;;;;;;;;;;;;
Japan;240;2169.492071;1,25029E-10;;;;;;;;;;;;;;;;
Korea;184;134.9932019;4,1422E-11;;;;;;;;;;;;;;;;
Luxembourg;38;3.149203183;1,9103E-11;;;;;;;;;;;;;;;;
Netherlands;38;319.0303848;1,34348E-10;;;;;;;;;;;;;;;;
New Zealand;10;8.447498084;1,7851E-11;;;;;;;;;;;;;;;;
Norway;188;246.6136149;1,74659E-10;;;;;;;;;;;;;;;;
Portugal;3;0.236467421;3,49E-13;;;;;;;;;;;;;;;;
Spain;235;116.2021078;2,7987E-11;;;;;;;;;;;;;;;;
Sweden;139;304.8632003;2,00173E-10;;;;;;;;;;;;;;;;
Switzerland;179;207.2526664;1,12684E-10;;;;;;;;;;;;;;;;
United Kingdom;632;1090.896539;1,50754E-10;;;;;;;;;;;;;;;;
United States;10;73.35092288;1,569E-12;;;;;;;;;;;;;;;;
