donor;purposeName;nr of projects;total amount;amount per capita (amount / capita average 2010-2012);amount per gdp (amount / sum gdp 2010 - 2012);;Settings;;;;;;;;;;;;
Australia;Environmental policy and admin. mgmt;80;81,8;3,6586E-06;2,0142E-11;;ClimateAdaptation = 2;;;;;;;;;;;;
Australia;Environmental research;43;49,55;2,21643E-06;1,2202E-11;;usd_commitment_defl;;;;;;;;;;;;
Australia;Disaster prevention and preparedness;29;34,98;1,56457E-06;8,613E-12;;;;;;;;;;;;;;
Australia;Agricultural research;9;2,57;1,1486E-07;6,32E-13;;;;;;;;;;;;;;
Australia;Water resources policy/admin. mgmt;6;21,2;9,48273E-07;5,221E-12;;;;;;;;;;;;;;
Australia;Multisector aid;5;8,52;3,81245E-07;2,099E-12;;;;;;;;;;;;;;
Australia;Forestry policy & admin. management;5;2,34;1,04857E-07;5,77E-13;;;;;;;;;;;;;;
Australia;Agricultural development;4;3,6;1,6105E-07;8,87E-13;;;;;;;;;;;;;;
Australia;Bio-diversity;4;1,26;5,63945E-08;3,1E-13;;;;;;;;;;;;;;
Australia;River basins development;4;1,1;4,93348E-08;2,72E-13;;;;;;;;;;;;;;
Australia;Agricultural water resources;2;0,69;3,09411E-08;1,7E-13;;;;;;;;;;;;;;
Australia;Urban development and management;1;15,67;7,01094E-07;3,86E-12;;;;;;;;;;;;;;
Australia;Transport policy & admin. management;1;10,38;4,6413E-07;2,555E-12;;;;;;;;;;;;;;
Australia;Basic drinking water supply and basic sanitation;1;4,66;2,08215E-07;1,146E-12;;;;;;;;;;;;;;
Australia;Forestry research;1;4,14;1,8508E-07;1,019E-12;;;;;;;;;;;;;;
Australia;Social/welfare services;1;3,69;1,64982E-07;9,08E-13;;;;;;;;;;;;;;
Australia;Food aid/Food security programmes;1;2,84;1,27243E-07;7,01E-13;;;;;;;;;;;;;;
Australia;Power generat./non-renewable sources;1;2,47;1,10354E-07;6,08E-13;;;;;;;;;;;;;;
Australia;Agricultural education/training;1;2,06;9,22978E-08;5,08E-13;;;;;;;;;;;;;;
Australia;Agricultural land resources;1;1,53;6,85703E-08;3,78E-13;;;;;;;;;;;;;;
Australia;Multisector education/training;1;1,38;6,18857E-08;3,41E-13;;;;;;;;;;;;;;
Australia;Water supply & sanit. - large systems;1;1,23;5,48096E-08;3,02E-13;;;;;;;;;;;;;;
Australia;Reconstruction relief and rehabilitation;1;0,77;3,46117E-08;1,91E-13;;;;;;;;;;;;;;
Australia;Agricultural policy & admin. mgmt;1;0,65;2,90139E-08;1,6E-13;;;;;;;;;;;;;;
Australia;Basic drinking water supply;1;0,31;1,40297E-08;7,7E-14;;;;;;;;;;;;;;
Australia;Legal and judicial development;1;0,08;3,78836E-09;2,1E-14;;;;;;;;;;;;;;
Australia;Biosphere protection;1;0,08;3,62878E-09;2E-14;;;;;;;;;;;;;;
Australia;Environmental education/training;1;0,03;1,3881E-09;8E-15;;;;;;;;;;;;;;
Australia;Rural development;1;0;2,8497E-11;0;;;;;;;;;;;;;;
Austria;Disaster prevention and preparedness;8;1,7;2,01293E-07;1,431E-12;;;;;;;;;;;;;;
Austria;Environmental policy and admin. mgmt;6;4,13;4,8975E-07;3,481E-12;;;;;;;;;;;;;;
Austria;Bio-diversity;3;0,32;3,77363E-08;2,68E-13;;;;;;;;;;;;;;
Austria;Water resources policy/admin. mgmt;2;3,48;4,12578E-07;2,932E-12;;;;;;;;;;;;;;
Austria;Material relief assistance and services;2;0,68;8,08874E-08;5,75E-13;;;;;;;;;;;;;;
Austria;"Relief co-ordination; protection and support services";1;1,36;1,61775E-07;1,15E-12;;;;;;;;;;;;;;
Austria;Biosphere protection;1;0,93;1,10214E-07;7,83E-13;;;;;;;;;;;;;;
Austria;Rural development;1;0,43;5,0557E-08;3,59E-13;;;;;;;;;;;;;;
Austria;Agricultural water resources;1;0,34;4,04852E-08;2,88E-13;;;;;;;;;;;;;;
Austria;Food crop production;1;0,1;1,21331E-08;8,6E-14;;;;;;;;;;;;;;
Belgium;Promotion of development awareness  (non-sector allocable);7;0,46;4,21381E-08;3,17E-13;;;;;;;;;;;;;;
Belgium;Rural development;4;1,04;9,44792E-08;7,12E-13;;;;;;;;;;;;;;
Belgium;Agricultural development;3;2,76;2,5068E-07;1,888E-12;;;;;;;;;;;;;;
Belgium;Social/welfare services;3;1,66;1,50285E-07;1,132E-12;;;;;;;;;;;;;;
Belgium;Multisector aid;2;0,16;1,47192E-08;1,11E-13;;;;;;;;;;;;;;
Belgium;Flood prevention/control;2;0,09;8,42299E-09;6,3E-14;;;;;;;;;;;;;;
Belgium;Environmental policy and admin. mgmt;2;0,03;2,93241E-09;2,2E-14;;;;;;;;;;;;;;
Belgium;Bio-diversity;1;2,03;1,83713E-07;1,384E-12;;;;;;;;;;;;;;
