donor;recipient;amount;project title;;Settings;;;;;;;;;;;;;;
Australia;Afghanistan;0,077586623;South Asia Water Initiative Phase 2;;ClimateAdaptation = 2;;;;;;;;;;;;;;
Australia;Antigua and Barbuda;0,041271151;Caribsave Climate Change Risk Atlas;;usd_commitment_defl;;;;;;;;;;;;;;
Australia;Asia, regional;0,309533636;IDRL Asia Pacific Program 2010-2011;;;;;;;;;;;;;;;;
Australia;Asia, regional;0,694249897;Programming support for DRR in the Asia Pacific;;;;;;;;;;;;;;;;
Australia;Bangladesh;3,688609162;Chars Livelihoods Program;;;;;;;;;;;;;;;;
Australia;Bangladesh;5,16973199;Comprehensive Disaster Risk Management Programme;;;;;;;;;;;;;;;;
Australia;Bangladesh;7,241418106;Bangladesh Climate Change Resilience Fund (BCCRF);;;;;;;;;;;;;;;;
Australia;Bangladesh;0,10344883;Ganga River Basin Capacity Building;;;;;;;;;;;;;;;;
Australia;Bangladesh;0,51724415;South Asia Water Initiative Phase 2;;;;;;;;;;;;;;;;
Australia;Bangladesh;0,382266369;Developing multi-scale climate change adaptation strategies for farming communities;;;;;;;;;;;;;;;;
Australia;Belize;0,041271151;Caribsave Climate Change Risk Atlas;;;;;;;;;;;;;;;;
Australia;Belize;0,58706219;Coral Reef Management;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;2,522553209;Pilot Program for Climate Resilience;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;1,35875908;AOSIS Support 2011-2013;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,003332357;AOSIS representation at UNFCCC COP16;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,040834922;Country and regional program development;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,062980118;ICCAI Mid-Term Review;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;1,497298522;International Meetings;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,020984647;Selection of NGO partners;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;1,034488301;Program Inception and Implementation;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,074811132;LDC Workshop on Article 6;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;1,508072907;GFDRR Track III MDTF;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,031034649;Plan International Climate Extreme report;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,51724415;Contribution to Interim Secretariat of GCF;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;1,034488301;SIDS Community-based Adaptation Program;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;20,68976602;EnDev Partnership;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,061898721;Design support;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,189393849;Accreditation Workshops for NIE Processes;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;4,137953203;CIFOR partnership;;;;;;;;;;;;;;;;
Australia;Bilateral, unspecified;0,081130779;Annual Contribution to Trust Fund for the Montreal Protocol;;;;;;;;;;;;;;;;
Australia;Cambodia;0,386917045;MRC's Climate Change Adaptation Initiative;;;;;;;;;;;;;;;;
Australia;Cambodia;0,075989404;Exploring Mekong Futures Workshops Finalisation;;;;;;;;;;;;;;;;
Australia;Cambodia;0,90421791;ACIAR - Developing Multi-scale Climate Change Adaptation Strategies for Farming Communities;;;;;;;;;;;;;;;;
Australia;Cambodia;0,26492511;Developing multi-scale climate change adaptation strategies for farming communities;;;;;;;;;;;;;;;;
Australia;China;0,075989404;Exploring Mekong Futures Workshops Finalisation;;;;;;;;;;;;;;;;
Australia;China;0,014049034;Direct M&E;;;;;;;;;;;;;;;;
Australia;China;0,096780001;Assessing farmer responses to climate change - adjustment policy options in China and Vietnam;;;;;;;;;;;;;;;;
Australia;Cook Islands;1,031778787;Pacific Adaptation to Climate Change Project;;;;;;;;;;;;;;;;
Australia;Cook Islands;0,031985142;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Cook Islands;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Cook Islands;1,403948395;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Dominica;0,041271151;Caribsave Climate Change Risk Atlas;;;;;;;;;;;;;;;;
Australia;Ethiopia;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;Far East Asia, regional;0,515889393;SIDS Community-based Adaptation Program;;;;;;;;;;;;;;;;
Australia;Fiji;0,031985142;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Fiji;0,744265374;Enhancing CCA in rural communities in Fiji;;;;;;;;;;;;;;;;
Australia;Fiji;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Fiji;1,403948395;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Guatemala;0,77383409;Restoring Food Production in Guatemala;;;;;;;;;;;;;;;;
Australia;Honduras;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;India;0,619067272;Improved farmer livelihoods on East India Plateau;;;;;;;;;;;;;;;;
Australia;India;3,101798551;AusAID-UNDP Partnership for Climate Change India;;;;;;;;;;;;;;;;
Australia;India;1,163799338;South Asia Water Initiative Phase 2;;;;;;;;;;;;;;;;
Australia;India;0,186207894;Ganga River Basin Capacity Building;;;;;;;;;;;;;;;;
Australia;India;0,272183332;Developing multi-scale climate change adaptation strategies for farming communities;;;;;;;;;;;;;;;;
Australia;India;0,129311038;Climate resiliant farming - India;;;;;;;;;;;;;;;;
Australia;Indonesia;0,029899113;Planning & Design 2011/12-12/13;;;;;;;;;;;;;;;;
Australia;Indonesia;34,28965341;EII - Indonesia Infrastructure Initiative (IndII);;;;;;;;;;;;;;;;
Australia;Indonesia;0,177943674;REDD Policy Development;;;;;;;;;;;;;;;;
Australia;Indonesia;0,401220202;Climate Change Adaptation;;;;;;;;;;;;;;;;
Australia;Indonesia;0,190731008;Climate adaptation strategies for rural livelihoods in Nusa Tenggara Barat Province, Indonesia;;;;;;;;;;;;;;;;
Australia;Kenya;0,168179942;Save the Children DRR in Africa;;;;;;;;;;;;;;;;
Australia;Kenya;2,844842827;Index Based Livestock Insurance (IBLI);;;;;;;;;;;;;;;;
Australia;Kenya;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;Kiribati;5,262071812;Kiribati Adaptation Project Phase III (KAP-III);;;;;;;;;;;;;;;;
Australia;Kiribati;0,005674783;Feasibility study on on Establishing DRM fund;;;;;;;;;;;;;;;;
Australia;Kiribati;0,567478333;Extension of KAP II;;;;;;;;;;;;;;;;
Australia;Kiribati;0,056128766;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Kiribati;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Kiribati;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Kiribati;0,41379532;OB Office Extension;;;;;;;;;;;;;;;;
Australia;Laos;0,386917045;MRC's Climate Change Adaptation Initiative;;;;;;;;;;;;;;;;
Australia;Laos;0,075989404;Exploring Mekong Futures Workshops Finalisation;;;;;;;;;;;;;;;;
Australia;Laos;0,07270061;Enhancing the resilience and productivity of rainfed-dominated systems;;;;;;;;;;;;;;;;
Australia;Laos;0,290328888;Developing multi-scale climate change adaptation strategies for farming communities;;;;;;;;;;;;;;;;
Australia;Maldives;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;Maldives;0,51724415;World Bank Maldives Climate Change Trust Fund;;;;;;;;;;;;;;;;
Australia;Mali;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;Marshall Islands;0,313671336;Ebeye Water Catchment Tanks;;;;;;;;;;;;;;;;
Australia;Marshall Islands;0,51724415;CADRE Program;;;;;;;;;;;;;;;;
