Id;Keyword_01;Keyword_02;Keyword_03;Keyword_04;Keyword_05;Tag_01;Tag_02;Tag_03;Tag_04;Tag_05;Tag_06;category;Checked keyword_01;Checked keyword_02;Checked keyword_03;Project;Focus;Financial Instrument;Country;Country Income Level;Region;Funder;Approved Year;Fund First Disbursed;Implementor;Approved;Disbursed
22;building capacity;;;;;change climate;adaptive  building capacity resilience;;;;;education/capacity building;capacity building;;;Building Adaptive Capacity and Resilience to Climate Change in Afghanistan. - 1197;Adaptation;Grant;Afghanistan;Low-income economies;Europe and Central Asia;Least Developed Countries Fund (LDCF);2011;;UNEP;4.9;4.9
98;policy development;preparation activities;;;;action;adaptation national program;activities;preparation ;;;cross-sector ;policy development;;;Enabling Activities for the Preparation of National Adaptation Programmes of Action (NAPAs) - 1198;Adaptation;Grant;Afghanistan;Low-income economies;Europe and Central Asia;Least Developed Countries Fund (LDCF);2004;;UNEP;0.2;0.2
282;enhancing adaptive capacities;livelihoods;;;;change climate;disaster risk;;;;;food security;livelihood diversification;sustainable livelihoods;disaster management;Strengthening the resilience of rural livelihood options for Afghan communities in Panjshir, Balkh, Uruzgan and Herat Provinces to manage climate change-induced disaster risks - 1340;Adaptation;Grant;Afghanistan;Low-income economies;Europe and Central Asia;Least Developed Countries Fund (LDCF);2013;;UNDP;9.1;0
42;ecosystem;;;;;adaptation;building resilience ;;;ecosytem;;terrestrial ecosystems;land rehabilitation and protection;biodiversity;;Building the Resilience of Kune-Vaini Lagoon through Ecosytem-based Adaptation (EbA) - 1194;Adaptation;Grant;Albania;Upper-middle-income economies;Europe and Central Asia;Special Climate Change Fund (SCCF);2013;;UNEP;1.9;0
99;policy development;capacity building;;;;action;adaptation national plan;activities;preparation ;;;cross-sector ;policy development;capacity building;;Enabling Activities for the Preparation of a National Adaptation Plan of Action - 1199;Adaptation;Grant;Angola;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2008;;UNEP;0.2;0.2
161;land management;;;;;change climate; environment l management practices sustainable;;;;;terrestrial ecosystems;mainstreaming;land management;;Integrating Climate Change into Environment and Sustainable Land Management Practices - 1342;Adaptation;Grant;Angola;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;AFDB;4.42;0
227;Climate Resilience;Enhanced Adaptive Capacity;Withstand Disaster Risks;;;climate;disaster risk;;adaptive  capacity development enhanced resilient;;;education/capacity building;river basin;capacity building;disaster management;Promoting Climate-resilient Development and Enhanced Adaptive Capacity to Withstand Disaster Risks in Angolanâ€™s Cuvelai River Basin - 1341;Adaptation;Grant;Angola;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;UNDP;8.35;0
123;enhancing adaptive capacities;agriculture;;;;resilience;adaptive capacity ;;;agriculture producer scale;;food security;agriculture;sustainable livelihoods;weather/climate information;Enhancing the Adaptive Capacity and Increasing Resilience of Small-scale Agriculture Producers of the Northeast of Argentina - 1657;Adaptation;Grant;Argentina;Upper-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2013;;GCCA Support Facility;5.64;2.32
146;land resource management;;;;;climate resilience;;management sustainable;;;;terrestrial ecosystems;land management;capacity building;;Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of Buenos Aires Province - 1654;Adaptation;Grant;Argentina;Upper-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2012;;WB;4.3;0.58
167;water management;flood control;;;;flood management;community mountainous vulnerable;;change climate into risk water;;;water resources;water management;surface water;policy adaptation;Integrating climate change risks into water and flood management by vulnerable mountainous communities in the Greater Caucasus region of Azerbaijan - 1151;Adaptation;Grant;Azerbaijan;Upper-middle-income economies;Europe and Central Asia;Special Climate Change Fund (SCCF);2011;;UNDP;2.7;2.7
48;preparation activities;planning;;;;grant preparation; assistance  change climate ;knowledge management technical;building capacity;;;education/capacity building;capacity building;technical support;;Climate Change Capacity Building and Knowledge Management Technical Assistance (preparation grant) - 153;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;0.5;0.03
61;infrastructure;coast;coastal zone;;;grant preparation project;coastal project zone;climate improvement infrastructure resilient;;;;coastal zones;infrastructure;;;Climate Resilient Infrastructure Improvement in Coastal Zone Project (Project Preparation Grant) - 224;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2012;;ADB;0.6;0.51
62;infrastructure;coast;coastal zone;;;coastal project zone;climate improvement infrastructure resilient;;;;;infrastructure;coastal zone management;;;Climate Resilient Infrastructure Improvement in Coastal Zone Project - 244;Adaptation;Concessional Loan;Bangladesh;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2012;;ADB;20;0
63;infrastructure;coast;coastal zone;;;coastal project zone;climate improvement infrastructure resilient;;;;;infrastructure;coastal zones;;;Climate Resilient Infrastructure Improvement in Coastal Zone Project - 246;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2012;;ADB;10;0
69;coast;;;;;coastal embankment improvement project;;;;;;coastal zones;infrastructure;;;Coastal embankment improvement project - 290;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2013;;IBRD;25;0
72;coastal area management;afforestation;;;;change climate;adaptation;community;afestation coastal;;;coastal zones;coastal zone management;reforestation;;Community Based Adaptation to Climate Change through Coastal Afforestation - 1200;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2008;;UNDP;3.3;3.3
129;housing;coastal management;;;;housing resilient;climate;coastal region ;feasibility study;pilot program;;coastal zones;coastal zone management;;;Feasibility study for a pilot program of climate resilient housing in the Coastal Region (TA) - 291;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2013;;IFC;0.4;0
166;community based adaptation;afforestation;;;;adaptation;community;;afestation  program reestation;;;education/capacity building;reforestation;;;Integrating Community-based Adaptation into Afforestation and Reforestation Programmes in Bangladesh - 1313;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2011;;UNDP;5.65;0
