Country;category;Approved
Bhutan;early warning systems and disaster management;11,49
Bhutan;infrastructure;3,45
Bhutan;cross-sector ;0,2
Cambodia;food security;10
Cambodia;infrastructure;10
Cambodia;infrastructure;9,4
Cambodia;cross-sector ;7
Cambodia;infrastructure;7
Cambodia;food security;5,1
Cambodia;infrastructure;5
Cambodia;education/capacity building;4,94
Cambodia;early warning systems and disaster management;4,91
Cambodia;infrastructure;4,5
Cambodia;water resources;1,85
Cambodia;coastal zones;1,64
Cambodia;cross-sector ;1,5
Cambodia;infrastructure;0,6
Cambodia;infrastructure;0,6
Cambodia;cross-sector ;0,2
Cambodia;food security;0
Cambodia;cross-sector ;0
Grenada;early warning systems and disaster management;16,199999
Grenada;cross-sector ;0,27
Grenada;early warning systems and disaster management;0
Mozambique;water resources;15,8
Mozambique;cross-sector ;15,8
Mozambique;education/capacity building;15
Mozambique;coastal zones;4,43
Mozambique;cross-sector ;2
Mozambique;cross-sector ;1,5
Mozambique;terrestrial ecosystems;0,96
Mozambique;cross-sector ;0,2
Mozambique;cross-sector ;0
Nepal;early warning systems and disaster management;16
Nepal;early warning systems and disaster management;15
Nepal;early warning systems and disaster management;7,16
Nepal;infrastructure;6,6
Nepal;education/capacity building;6,3
Nepal;terrestrial ecosystems;5,35
Nepal;education/capacity building;2,69
Nepal;infrastructure;2,1
Nepal;infrastructure;0,3
Nepal;cross-sector ;0,21
Nepal;cross-sector ;0,2
Nepal;water resources;0
Nepal;water resources;0
Regional - Pacific;cross-sector ;13,13
Samoa;infrastructure;14,8
Samoa;cross-sector ;12,32
Samoa;coastal zones;8,73
Samoa;terrestrial ecosystems;2,4
Samoa;cross-sector ;2
Samoa;tourism;1,95
Samoa;cross-sector ;0,5
Samoa;cross-sector ;0,2
Samoa;infrastructure;0,2
St Vincent & Grenadine;early warning systems and disaster management;12
St Vincent & Grenadine;early warning systems and disaster management;3
St Vincent & Grenadine;cross-sector ;0,27
St Vincent & Grenadine;early warning systems and disaster management;0
Yemen;early warning systems and disaster management;19
Yemen;education/capacity building;10
Yemen;water resources;5,02
Yemen;coastal zones;4,5
Yemen;cross-sector ;1,5
Yemen;cross-sector ;0,2
Yemen;early warning systems and disaster management;0
