Country;category;Approved
Afghanistan;food security;9,1
Afghanistan;education/capacity building;4,9
Afghanistan;cross-sector ;0,2
Albania;terrestrial ecosystems;1,9
Angola;education/capacity building;8,35
Angola;terrestrial ecosystems;4,42
Angola;cross-sector ;0,2
Argentina;food security;5,64
Argentina;terrestrial ecosystems;4,3
Azerbaijan;water resources;2,7
Benin;food security;7,2
Benin;early warning systems and disaster management;4
Benin;food security;3,1
Benin;cross-sector ;0,2
Bolivia;cross-sector ;1,5
Bolivia;education/capacity building;0
Bolivia;cross-sector ;0
Bolivia;cross-sector ;0
Burkina Faso;food security;9
Burkina Faso;terrestrial ecosystems;7
Burkina Faso;early warning systems and disaster management;4
Burkina Faso;education/capacity building;2,9
Burkina Faso;cross-sector ;0,2
Burundi;early warning systems and disaster management;8,72
Burundi;early warning systems and disaster management;3,08
Burundi;cross-sector ;0,2
Cameroon;education/capacity building;4,03
Cape Verde;water resources;3
Cape Verde;cross-sector ;0,2
Central African Republic;food security;2,78
Central African Republic;cross-sector ;0,2
Chad;cross-sector ;0,2
China;cross-sector ;5
Colombia;infrastructure;8,52
Colombia;water resources;4,22
Comoros;education/capacity building;8,99
Comoros;water resources;3,4
Comoros;cross-sector ;0,2
Cook Islands;cross-sector ;5,38
Democratic Republic of Congo;coastal zones;5,36
Democratic Republic of Congo;education/capacity building;3
Democratic Republic of Congo;cross-sector ;0,2
Djibouti;terrestrial ecosystems;7,36
Djibouti;terrestrial ecosystems;4,66
Djibouti;coastal zones;2
Djibouti;cross-sector ;2
Djibouti;cross-sector ;0,2
Dominica;cross-sector ;0,31
Ecuador;food security;7,45
Ecuador;water resources;3
Egypt;food security;6,9
Egypt;coastal zones;4
Equatorial Guinea;cross-sector ;0,2
Eritrea;cross-sector ;6,52
Eritrea;cross-sector ;0,2
Ethiopia;education/capacity building;5,31
Ethiopia;early warning systems and disaster management;4,9
Ethiopia;terrestrial ecosystems;1
Ethiopia;cross-sector ;0,2
Gambia;coastal zones;8,9
Gambia;early warning systems and disaster management;8
Gambia;early warning systems and disaster management;0,93
Gambia;cross-sector ;0,2
Georgia;early warning systems and disaster management;5,32
Georgia;food security;5,3
Ghana;food security;2,5
Ghana;health;1,72
Global;education/capacity building;8,18
Global;education/capacity building;4,9
Global;health;4,5
Global;education/capacity building;2
Global;cross-sector ;1
Global;cross-sector ;0,63
Global;cross-sector ;0,21
Guatemala;education/capacity building;5,43
Guinea;terrestrial ecosystems;8
Guinea;food security;3,72
Guinea;coastal zones;2,97
Guinea;cross-sector ;0,2
Guinea-Bissau;education/capacity building;4
Guinea-Bissau;cross-sector ;0,2
Guyana;terrestrial ecosystems;3,8
Haiti;education/capacity building;3,5
Haiti;food security;2,73
Haiti;cross-sector ;0,45
Haiti;cross-sector ;0,2
Honduras;water resources;5,62
Honduras;food security;3
India;education/capacity building;8
India;coastal zones;1,82
Indonesia;cross-sector ;5
Jamaica;food security;9,96
Jamaica;cross-sector ;0,51
Jamaica;cross-sector ;0
Jordan;water resources;2
Kenya;terrestrial ecosystems;6,5
Kiribati;food security;4,45
Kiribati;cross-sector ;3
Kiribati;cross-sector ;0,2
Kyrgyzstan;water resources;5
Lao PDR;infrastructure;4,7
Lao PDR;food security;4,45
Lao PDR;cross-sector ;0,2
Lebanon;education/capacity building;7,86
Lebanon;food security;7,15
Lesotho;education/capacity building;8,4
Lesotho;food security;4,33
Lesotho;water resources;3,59
Lesotho;early warning systems and disaster management;1,6
Lesotho;cross-sector ;0,19
Liberia;early warning systems and disaster management;6,73
Liberia;coastal zones;2,9
Liberia;cross-sector ;2,38
Liberia;cross-sector ;0,2
Madagascar;cross-sector ;6,27
Madagascar;coastal zones;5,34
Madagascar;food security;5,1
Madagascar;cross-sector ;0,2
Malawi;infrastructure;5,32
Malawi;education/capacity building;4,5
Malawi;early warning systems and disaster management;4
Malawi;food security;3
Malawi;cross-sector ;0,2
Maldives;water resources;8,99
Maldives;early warning systems and disaster management;4,25
Maldives;tourism;1,65
Maldives;cross-sector ;0,2
Mali;education/capacity building;5,46
Mali;education/capacity building;3
Mali;terrestrial ecosystems;2,17
Mali;food security;2,11
Mali;cross-sector ;0,2
Mauritania;food security;7,8
Mauritania;terrestrial ecosystems;6,6
Mauritania;food security;3,5
Mauritania;cross-sector ;0,2
Mauritius;coastal zones;9,12
Mexico;coastal zones;4,5
Moldova;food security;4,26
Mongolia;terrestrial ecosystems;5,5
Mongolia;food security;1,5
Morocco;cross-sector ;4,35
Myanmar;cross-sector ;0,2
Namibia;education/capacity building;3,05
Nicaragua;water resources;6
Nicaragua;terrestrial ecosystems;5,5
Pakistan;infrastructure;3,9
Papua New Guinea;education/capacity building;6,53
Papua New Guinea;cross-sector ;0
Philippines;cross-sector ;4,97
Philippines;insurance;1,05
Regional;education/capacity building;3,69
Regional - Europe and Central Asia;insurance;5,5
Regional - Latin America and Caribean;terrestrial ecosystems;6,9
Rwanda;terrestrial ecosystems;5,6
Rwanda;early warning systems and disaster management;3,16
Rwanda;cross-sector ;0,2
Sao Tome and Principe;education/capacity building;4,08
Sao Tome and Principe;early warning systems and disaster management;4
Sao Tome and Principe;education/capacity building;3,25
Sao Tome and Principe;education/capacity building;1,99
Sao Tome and Principe;cross-sector ;0,2
Senegal;coastal zones;8,62
Senegal;water resources;5
Senegal;cross-sector ;0,2
Sierra Leone;water resources;4
Sierra Leone;early warning systems and disaster management;4
Sierra Leone;education/capacity building;2,94
Sierra Leone;food security;2,64
Sierra Leone;cross-sector ;0,2
Solomon Islands;water resources;6,85
Solomon Islands;cross-sector ;5,53
Solomon Islands;cross-sector ;0,2
Somalia;cross-sector ;0,2
