country;category;USD
Afghanistan;TERRESTRIAL ECOSYSTEMS;2200000
Afghanistan;WATER RESOURCES;2200000
Benin;CROSS-SECTORIAL;8190000
Benin;WATER RESOURCES;2875000
Benin;EDUCATION/ CAPACITY BUILDING;2106600
Benin;COASTAL ZONES AND MARINE ECOSYSTEMS;1296000
Benin;HEALTH;1112500
Bhutan;TERRESTRIAL ECOSYSTEMS;3188942
Bhutan;WATER RESOURCES;895000
Bhutan;TERRESTRIAL ECOSYSTEMS;894179
Bhutan;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;619110
Bhutan;TERRESTRIAL ECOSYSTEMS;453488
Bhutan;TERRESTRIAL ECOSYSTEMS;423000
Bhutan;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;420000
Bhutan;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;400000
Bhutan;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;232493
Burkina Faso;ENERGY;1230000
Burkina Faso;TERRESTRIAL ECOSYSTEMS;810000
Burkina Faso;TERRESTRIAL ECOSYSTEMS;700000
Burkina Faso;FOOD SECURITY;443300
Burkina Faso;FOOD SECURITY;408660
Burkina Faso;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;400000
Burkina Faso;WATER RESOURCES;352000
Burkina Faso;FOOD SECURITY;330000
Burkina Faso;WATER RESOURCES;330000
Burkina Faso;FOOD SECURITY;320000
Burkina Faso;FOOD SECURITY;297924
Burkina Faso;TERRESTRIAL ECOSYSTEMS;275000
Burundi;WATER RESOURCES;2000000
Burundi;WATER RESOURCES;1000000
Burundi;EDUCATION/ CAPACITY BUILDING;700000
Burundi;TERRESTRIAL ECOSYSTEMS;600000
Burundi;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;500000
Burundi;EDUCATION/ CAPACITY BUILDING;500000
Burundi;ENERGY;500000
Burundi;TERRESTRIAL ECOSYSTEMS;500000
Burundi;FOOD SECURITY;300000
Burundi;FOOD SECURITY;294000
Burundi;TERRESTRIAL ECOSYSTEMS;200000
Burundi;TERRESTRIAL ECOSYSTEMS;200000
Central African Republic;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;500000
Central African Republic;HEALTH;500000
Central African Republic;FOOD SECURITY;250000
Central African Republic;EDUCATION/ CAPACITY BUILDING;250000
Central African Republic;EDUCATION/ CAPACITY BUILDING;250000
Central African Republic;ENERGY;250000
Central African Republic;TERRESTRIAL ECOSYSTEMS;250000
Central African Republic;TERRESTRIAL ECOSYSTEMS;250000
Central African Republic;TERRESTRIAL ECOSYSTEMS;250000
Central African Republic;WATER RESOURCES;250000
Chad;CROSS-SECTORIAL;2000000
Chad;WATER RESOURCES;1800000
Chad;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;1700000
Chad;EDUCATION/ CAPACITY BUILDING;1600000
Chad;FOOD SECURITY;1500000
Chad;FOOD SECURITY;1200000
Chad;EDUCATION/ CAPACITY BUILDING;1100000
Chad;INFRASTRUCTURE;1100000
Chad;FOOD SECURITY;1000000
Chad;EDUCATION/ CAPACITY BUILDING;1000000
Comoros;INFRASTRUCTURE;1025000
Comoros;FOOD SECURITY;900000
Comoros;TERRESTRIAL ECOSYSTEMS;580000
Comoros;TERRESTRIAL ECOSYSTEMS;500000
Comoros;FOOD SECURITY;420000
Comoros;FOOD SECURITY;308000
Comoros;HEALTH;175000
Comoros;FOOD SECURITY;132000
