Country;Sum of N of NAPA Projects;Sum of Requested Fund;Sum of N of MLT Projects;Sum of Approved Fund MLT;Population;GDP;Received Fund BL
Afghanistan;2;4400000;3;14200000;29824536;20496777409;18039563,5226
Albania;0;0;1;1900000;3162083;12648095824;26411371,9753
Angola;15;62500000;3;12970000;20820525;114147000000;1354557,7535
Argentina;0;0;2;9940000;41086927;475502000000;1885943,2919
Azerbaijan;0;0;1;2700000;9297507;66604589419;29012327,9888
Bangladesh;15;77275000;9;65650000;154695368;116355000000;350339592,2851
Benin;5;15580100;4;14500000;10050702;7557286829;23358328,5571
Bhutan;9;7526212;3;15140000;741822;1779561112;18919875,9383
Bolivia;0;0;4;1500000;10496285;27035110130;77927585,2333
Burkina Faso;12;5896884;5;23100000;16460141;10441012681;49276659,5507
Burundi;12;7294000;3;12000000;9849569;2472384864;13424037,9419
Cambodia;20;128850000;18;74240000;14864646;14038383450;150385220,7083
Cameroon;0;0;1;4030000;21699631;25321590402;89479842,6968
Cape Verde;3;16680000;2;3200000;494401;1827021562;8074463,1982
Central African Republic;10;3000000;2;2980000;4525209;2184181391;0
Chad;10;14000000;1;200000;12448175;12887072082;21443400,6922
China;0;0;1;5000000;1350695000;8227100000000;69301827,2683
Colombia;0;0;2;12740000;47704427;369606000000;19439531,2707
Comoros;13;4512000;3;12590000;717503;595900353,5;9219978,5507
Congo;3;16475654;3;8560000;65705093;17203980743;75678409,3778
Cook Islands;0;0;1;5380000;10447;183000000;3856528,7823
Djibouti;8;7437000;5;16220000;859652;1354000000;64120423,899
Dominica;0;0;1;310000;71684;479688888,9;48168,6268
Ecuador;0;0;2;10450000;15492264;84039856000;8798866,8654
Egypt;0;0;2;10900000;80721874;2,62832E+11;127559582,2798
Equatorial Guinea;6;48500000;1;200000;736296;17697394251;412496,2087
Eritrea;5;33149000;2;6720000;6130922;3091837398;795474,2654
Ethiopia;11;769000000;4;11410000;91728849;41605361646;122623975,7483
Gambia;10;15082000;4;18030000;1791225;917292053;12034894,2723
Georgia;0;0;2;10620000;4511800;15747288816;3321178,6386
Ghana;0;0;2;4220000;25366462;40710781539;25379781,9431
Grenada;0;0;3;16469999;105483;766510727,2;13185,4655
Guatemala;0;0;1;5430000;15082831;50233749191;10286660,3947
Guinea;25;8205000;4;14890000;11451273;5631621298;7988781,1879
Guinea-Bissau;14;7200000;2;4200000;1663558;822321032,4;1144792,3282
Guyana;0;0;1;3800000;795369;2850572407;7448211,7839
Haiti;14;24463823;4;6880000;10173775;7843484458;11932898,4038
Honduras;0;0;2;8620000;7935846;18434022403;19447469,8445
India;0;0;2;9820000;1236686732;1841710000000;54957818,7697
Indonesia;0;0;1;5000000;246864191;878043000000;495613024,9614
Jamaica;0;0;3;10470000;2712100;14755051129;398749,4256
Jordan;0;0;1;2000000;6318000;31015239496;24151945,3105
Kenya;0;0;1;6500000;43178141;40697163224;288177384,9418
Kiribati;10;12960446;3;7650000;100786;174984468,8;8297286,1271
Kyrgyzstan;0;0;1;5000000;5582100;6474843799;8298875,5012
Lao PDR;23;36751000;3;9350000;6645827;9417665586;22857371,251
Lebanon;0;0;2;15010000;4424888;42945273632;1862529,9702
Lesotho;0;0;5;18110000;2051545;2447573299;28604581,232
Liberia;3;68000000;4;12210000;4190435;1733823553;975786,2016
Madagascar;15;2130330;4;16910000;22293914;9975124872;2805430,7579
Malawi;5;22930000;5;17020000;15906483;4263794984;15329524,8771
Maldives;30;73797820;4;15090000;338442;2222429330;12853728,7484
Mali;0;0;5;12940000;14853572;10308146676;47761806,0537
Mauritania;28;20158780;4;18100000;3796141;4199051817;28760316,4068
Mauritius;0;0;1;9120000;1291456;10486037634;3530499,6148
Mexico;0;0;1;4500000;120847477;1178130000000;7140107,1202
Moldova;0;0;1;4260000;3559541;7252769934;274155,1134
Mongolia;0;0;2;7000000;2796484;10271393281;32978944,5616
Morocco;0;0;1;4350000;32521143;95981572517;73213326,9764
Mozambique;4;9200000;9;55690000;25203395;14243717484;55652621,5927
Myanmar;12;24000000;1;200000;52797319;53140000000;23497549,9874
Namibia;0;0;1;3050000;2259393;13072278943;1091176,8477
Nepal;9;350000000;13;61910000;27474377;18962962963;32892666,2827
Nicaragua;0;0;2;11500000;5991733;10507356838;20606465,073
Niger;15;0;10;109250000;17157042;6773185511;5591393,1633
Pakistan;0;0;1;3900000;179160111;225143000000;97131571,1866
Papua New Guinea;0;0;2;6530000;7167010;15653921367;4395586,4988
Philippines;0;0;2;6020000;96706764;2,50182E+11;222518980,9564
Rwanda;7;8110000;3;8960000;11457801;7103000861;4584552,6907
Samoa;9;7812500;9;43100000;188889;683719606,3;17678051,0446
Sao Tome and Principe;22;12340000;5;13520000;188098;263398378;412496,2087
Senegal;4;59182000;3;13820000;13726021;14045759802;31644509,0792
Sierra Leone;24;30050401;5;13780000;5978727;3796030045;4097737,9205
Solomon Islands;7;17250000;3;12580000;549598;1008424232;12760283,4932
Somalia;3;18650000;1;200000;10195134;2372000000;54879665,6408
South Africa;0;0;1;3540000;51189306,61;384313000000;80858689,1714
Sri Lanka;0;0;2;11110000;20328000;59423009404;3490275,7774
St Lucia;0;0;1;320000;180870;1238640741;15406,2865
St Vincent & Grenadines;0;0;4;15270000;109373;712588888,9;41271,1515
Sudan;5;15050000;4;9100000;37195349;58768800833;925571,0616
Swaziland;0;0;1;1670000;1230985;3744472287;0
Tajikistan;0;0;9;27090000;8008990;6972163026;1028862,2396
Tanzania;6;17170000;5;13310000;47783107;28242425168;59632400,1304
Thailand;0;0;1;870000;66785001;365966000000;131609843,0179
Timor-Leste;9;21300000;2;4800000;1210233;1293000000;11590654,5005
Togo;7;23300000;2;5560000;6642928;3813834650;13615796,0779
Tonga;0;0;1;250000;104941;471575497,3;5756931,6872
Tunisia;0;0;1;5600000;10777500;45662043358;53138220,0385
Turkmenistan;0;0;1;2930000;5172931;35164210526;1172790,1124
Tuvalu;7;8669800;3;7400000;9860;39875708,12;2557602,6059
Uganda;0;0;3;12569999;36345860;19881412441;41522770,7583
Uruguay;0;0;1;9970000;3395253;49919727146;213863,812
Vanuatu;5;6000000;3;10809999;247262;787073459;5678164,0554
Vietnam;0;0;1;3400000;88775500;155820000000;667851781,8668
Yemen;12;29920000;7;40220000;23852409;35645823132;19993413,8377
Zambia;10;14650000;7;14150000;14075099;20678025802;47531888,0874
Zimbabwe;0;0;2;4960000;13724317;9802360203;4238184,1961
Algeria;0;0;0;0;38481705;2,05789E+11;102028,4064
Antigua and Barbuda;0;0;0;0;89069;1134159259;41271,1515
Barbados;0;0;0;0;283221;4224850000;26338,8078
Belize;0;0;0;0;324060;;4717256,6489
Bosnia-Herzegovina;0;0;0;0;3833916;17465958606;24067,7096
Botswana;0;0;0;0;2003910;14504339386;1322447,7664
Brazil;0;0;0;0;198656019;2,25266E+12;15674722,0479
Chile;0;0;0;0;17464814;2,69869E+11;3004979,8986
Costa Rica;0;0;0;0;4805295;45103963693;13950767,0782
Cote d'Ivoire;0;0;0;0;19839750;24680372724;11942793,3718
Croatia;0;0;0;0;4267000;59228247411;26127,0751
Cuba;0;0;0;0;11270957;;20306334,0146
Dominican Republic;0;0;0;0;10276621;59047202158;2285749,7021
El Salvador;0;0;0;0;6297394;23864400000;10721625,6934
Fiji;0;0;0;0;874742;3907563305;9222540,7602
Gabon;0;0;0;0;1632572;18377083881;77510533,9011
Iraq;0;0;0;0;32578209;2,1028E+11;3316110,7489
Kazakhstan;0;0;0;0;16797459;2,03521E+11;11284,5086
Korea Dem Rep;0;0;0;0;24763188;12400000000;1802931,1492
Kosovo;0;0;0;0;1806366;6445201981;2749376,1302
Libya;0;0;0;0;6154623;;24067,7096
Macedonia FYR;0;0;0;0;2105575;9612518136;7259393,8746
Malaysia;0;0;0;0;29239927;3,05033E+11;99685,7186
Marshall Islands;0;0;0;0;52555;182400000;2361375,5946
Micronesia;0;0;0;0;103395;326160960,8;2446033,062
Montenegro;0;0;0;0;621081;4373170812;1398869,4305
Nauru;0;0;0;0;9378;36900000;2324679,3356
Nigeria;0;0;0;0;168833776;2,62597E+11;1021310,2735
Niue;0;0;0;0;1398;10000000;2475308,6799
Palau;0;0;0;0;20754;228415735,3;1411544,7612
Panama;0;0;0;0;3802281;36252500000;912321,9892
Paraguay;0;0;0;0;6687361;25502060502;17092209,6866
Peru;0;0;0;0;29987800;2,0379E+11;64827037,5576
Serbia;0;0;0;0;7223887;37488935010;78603393,9208
Seychelles;0;0;0;0;87784,90752;1128753721;2794063,2129
South Sudan;0;0;0;0;10837527;10220256857;5888020,5545
St Helena;0;0;0;0;4255;2000000;21813,0598
St Kitts-Nevis;0;0;0;0;53584;767000000;54771,8904
Suriname;0;0;0;0;534541;5012121214;5261478,6695
Syria;0;0;0;0;22399254;73672408036;1961214,4593
Tokelau;0;0;0;0;1411;1500000;1031778,7866
Trinidad and Tobago;0;0;0;0;1337439;23320256743;108698,9958
Turkey;0;0;0;0;73997128;7,89257E+11;1003935,8905
Ukraine;0;0;0;0;45593300;1,76309E+11;20863696,0786
Uzbekistan;0;0;0;0;29776850;51112745669;1161107,223
Venezuela;0;0;0;0;29954782;3,81286E+11;1040458,8725
West Bank & Gaza Strip;0;0;0;0;4046901;;49242082,5975
