text,year,arena,country
Ms. Margaret Mukahanana-Sangarwe    ,2012,Adaption Committee, Africa  
 Mr. Amjad Abdulla,2012,Adaption Committee, Asia-Pacific  
 Mr. Andro Drecun ,2012,Adaption Committee, Eastern Europe  
 Mr. Clifford Mahlung ,2012,Adaption Committee, GRULAC  
 Mr. Klaus Radunsky,2012,Adaption Committee, WEOG  
 Mr. Luke Daunivalu,2012,Adaption Committee, SIDS  
 Ms. Sumaya Ahmed Zakieldeen,2012,Adaption Committee, LDCs  
 Ms. Christina Chan,2012,Adaption Committee, Annex I  
 Mr. Fredrick Kossam,2012,Adaption Committee, Non-Annex I 
 Mr. Zemmouri Zoubir   ,2012,Adaption Committee, Africa  
 Mr. Naser Moghaddasi,2012,Adaption Committee, Asia-Pacific  
 Mr. Tomasz Chruszczow,2012,Adaption Committee, Eastern Europe  
 Mr. Juan Pablo Hoffmaister ,2012,Adaption Committee, GRULAC  
 Ms. Annemieke Nijhof ,2012,Adaption Committee, WEOG  
 Mr. Naoya Tsukamoto,2012,Adaption Committee, Annex I  
Mr. Quamrul Chowdhury,2012,Adaption Committee, Non-Annex I 
Madeleine Diouf,2003,Consultative group of experts,
Emily Massawa,2003,Consultative group of experts,
Mohammed Etayari,2003,Consultative group of experts,
Samuel Adejuwon,2003,Consultative group of experts,
Marília Manjate,2003,Consultative group of experts,
Aimin Ma,2003,Consultative group of experts,
Mahendra Kumar,2003,Consultative group of experts,
Imran Habib,2003,Consultative group of experts,
Taha Zatari,2003,Consultative group of experts,
Vute Wangwacharakul,2003,Consultative group of experts,
Brian Challenger,2003,Consultative group of experts,
Arthur Rolle,2003,Consultative group of experts,
Luis Santos,2003,Consultative group of experts,
Luis Paz Castro,2003,Consultative group of experts,
Julia Martínez,2003,Consultative group of experts,
Christopher Mitchell,2003,Consultative group of experts,
Lambert Schneider,2003,Consultative group of experts,
Klaus Broersma,2003,Consultative group of experts,
Ivan Mojik,2003,Consultative group of experts,
Othmar Schwank,2003,Consultative group of experts,
Madeleine Diouf,2004,Consultative group of experts,
Emily Massawa,2004,Consultative group of experts,
Mohammed Etayari,2004,Consultative group of experts,
Samuel Adejuwon,2004,Consultative group of experts,
Marília Manjate,2004,Consultative group of experts,
Mahendra Kumar,2004,Consultative group of experts,
Subodh Kumar Sharma,2004,Consultative group of experts,
Jaekyu Lim,2004,Consultative group of experts,
Vute Wangwacharakul,2004,Consultative group of experts,
Tatyana Ososkova,2004,Consultative group of experts,
Brian Challenger,2004,Consultative group of experts,
Arthur Rolle,2004,Consultative group of experts,
Julia Martínez,2004,Consultative group of experts,
Luis Paz Castro,2004,Consultative group of experts,
Luis Santos,2004,Consultative group of experts,
Satender Singh,2004,Consultative group of experts,
Othmar Schwank,2004,Consultative group of experts,
Klaus Broersma,2004,Consultative group of experts,
Alexander Pisarenko,2004,Consultative group of experts,
Jack Fitzgerald,2004,Consultative group of experts,
Bo Lim,2004,Consultative group of experts,
Madeleine Diouf,2005,Consultative group of experts,
Emily Massawa,2005,Consultative group of experts,
Mohammed Etayari,2005,Consultative group of experts,
Samuel Adejuwon,2005,Consultative group of experts,
Marília Manjate,2005,Consultative group of experts,
Jose Villarin,2005,Consultative group of experts,
Subodh Kumar Sharma,2005,Consultative group of experts,
Jaekyu Lim,2005,Consultative group of experts,
M. Assaduzaman,2005,Consultative group of experts,
Mohammed Mendecar,2005,Consultative group of experts,
Lilian Portillo,2005,Consultative group of experts,
Arthur Rolle,2005,Consultative group of experts,
Carlos Fuller,2005,Consultative group of experts,
Luis Paz Castro,2005,Consultative group of experts,
Luis Santos,2005,Consultative group of experts,
Satender Singh,2005,Consultative group of experts,
Othmar Schwank,2005,Consultative group of experts,
Renata Vandeputte,2005,Consultative group of experts,
Alexander Pisarenko,2005,Consultative group of experts,
Jack Fitzgerald,2005,Consultative group of experts,
Riitta Pipatti,2005,Consultative group of experts,
Martha Perdomo,2005,Consultative group of experts,
Taka Hiraishi,2005,Consultative group of experts,
Madeleine Diouf,2006,Consultative group of experts,
Emily Massawa,2006,Consultative group of experts,
Mohammed Etayari,2006,Consultative group of experts,
Samuel Adejuwon,2006,Consultative group of experts,
Marília Manjate,2006,Consultative group of experts,
Jose Villarin,2006,Consultative group of experts,
vute Wangwacharakul,2006,Consultative group of experts,
Jaekyu Lim,2006,Consultative group of experts,
M. Assaduzaman,2006,Consultative group of experts,
Mohammed Mundicar,2006,Consultative group of experts,
Lilian Portillo,2006,Consultative group of experts,
Arthur Rolle,2006,Consultative group of experts,
Carlos Fuller,2006,Consultative group of experts,
Luis Paz Castro,2006,Consultative group of experts,
Luis Santos,2006,Consultative group of experts,
Michelle Campbell,2006,Consultative group of experts,
Othmar Schwank,2006,Consultative group of experts,
Caroline Dickson,2006,Consultative group of experts,
Alexander Pisarenko,2006,Consultative group of experts,
Jack Fitzgerald,2006,Consultative group of experts,
Riitta Pipatti,2006,Consultative group of experts,
Martha Perdomo,2006,Consultative group of experts,
Taka Hiraishi,2006,Consultative group of experts,
George Manful,2006,Consultative group of experts,
Madeleine Diouf,2007,Consultative group of experts,
Emily Massawa,2007,Consultative group of experts,
Mohammed Etayari,2007,Consultative group of experts,
Samuel Adejuwon,2007,Consultative group of experts,
Marília Manjate,2007,Consultative group of experts,
Jose Villarin,2007,Consultative group of experts,
vute Wangwacharakul,2007,Consultative group of experts,
Jaekyu Lim,2007,Consultative group of experts,
M. Assaduzaman,2007,Consultative group of experts,
Mohammed Mendekar,2007,Consultative group of experts,
Lilian Portillo,2007,Consultative group of experts,
Arthur Rolle,2007,Consultative group of experts,
Carlos Fuller,2007,Consultative group of experts,
Luis Paz Castro,2007,Consultative group of experts,
Luis Santos,2007,Consultative group of experts,
Michelle Campbell,2007,Consultative group of experts,
Othmar Schwank,2007,Consultative group of experts,
Caroline Dickson,2007,Consultative group of experts,
Daniela Stoycheva,2007,Consultative group of experts,
Jack Fitzgerald,2007,Consultative group of experts,
Riitta Pipatti,2007,Consultative group of experts,
Yamil Bonduki ,2007,Consultative group of experts,
Madeleine Diouf ,2010,Consultative group of experts,
Emmanuel Dumisani Dlamini,2010,Consultative group of experts,
Ménouer Boughedaoui,2010,Consultative group of experts,
Eric Kamoga Mugurusi,2010,Consultative group of experts,
Abias Moma Huongo,2010,Consultative group of experts,
Hongwei Yang,2010,Consultative group of experts,
Graham Sem,2010,Consultative group of experts,
Sangchan Limjirakan,2010,Consultative group of experts,
W.L. Sumathipala,2010,Consultative group of experts,
Irina Atamuradova,2010,Consultative group of experts,
Ruleta Camacho,2010,Consultative group of experts,
Jocelyn Paul,2010,Consultative group of experts,
Carlos Mansilla,2010,Consultative group of experts,
Fernando Farias,2010,Consultative group of experts,
Haroldo de Oliveira Machado Filho,2010,Consultative group of experts,
Michelle Campbell,2010,Consultative group of experts,
Othmar Schwank,2010,Consultative group of experts,
Erasmia Kitou,2010,Consultative group of experts,
Matti Nummelin,2010,Consultative group of experts,
Soren Jacobsen,2010,Consultative group of experts,
Kiyoto Tanabe,2010,Consultative group of experts,
Yamil Bonduki,2010,Consultative group of experts,
Taka Hiraishi,2010,Consultative group of experts,
George Manful,2010,Consultative group of experts,
Patience Damptey,2011,Consultative group of experts,
Emmanuel Dumisani Dlamini,2011,Consultative group of experts,
Ménouer Boughedaoui,2011,Consultative group of experts,
Eric Kamoga Mugurusi,2011,Consultative group of experts,
Abias Moma Huongo,2011,Consultative group of experts,
Hongwei Yang,2011,Consultative group of experts,
Graham Sem,2011,Consultative group of experts,
Sangchan Limjirakan,2011,Consultative group of experts,
W.L. Sumathipala,2011,Consultative group of experts,
Ruleta Camacho,2011,Consultative group of experts,
Jocelyn Paul,2011,Consultative group of experts,
Carlos Mansilla,2011,Consultative group of experts,
Fernando Farias,2011,Consultative group of experts,
Haroldo de Oliveira Machado Filho,2011,Consultative group of experts,
Michelle Campbell,2011,Consultative group of experts,
Othmar Schwank,2011,Consultative group of experts,
Erasmia Kitou,2011,Consultative group of experts,
Matti Nummelin,2011,Consultative group of experts,
Soren Jacobsen,2011,Consultative group of experts,
Kiyoto Tanabe,2011,Consultative group of experts,
Yamil Bonduki,2011,Consultative group of experts,
Taka Hiraishi,2011,Consultative group of experts,
George Manful,2011,Consultative group of experts,
Patience Damptey,2012,Consultative group of experts,
Emmanuel Dumisani Dlamini,2012,Consultative group of experts,
Ménouer Boughedaoui,2012,Consultative group of experts,
Eric Kamoga Mugurusi,2012,Consultative group of experts,
Abias Moma Huongo,2012,Consultative group of experts,
Qiang Liu,2012,Consultative group of experts,
Graham Sem,2012,Consultative group of experts,
Sangchan Limjirakan,2012,Consultative group of experts,
Anoja Udaya Kumari Herath,2012,Consultative group of experts,
