Person,Year,Arena,Event,Name_ID,Participations Count,name,title_as_cop_participant,name_in_cop_partitipants_list,attended_cops_from_participants_list,country,filename,Words count,Key
A.R. Ravishankara,2013,IPCC,2013_IPCC,a.r. ravishankara,1,A.R. Ravishankara,Mr.,Mr. A.R. Ravishankara,1,,,2,A.R. Ravishankara|2013|IPCC
Aaron Cosbey,2008,Cop Side Event,2008_Cop Side Event,aaron cosbey,1,Aaron Cosbey,Mr.,Mr. Aaron Cosbey,8,,,2,Aaron Cosbey|2008|Cop Side Event
Aaron Gould,2008,Cop Side Event,2008_Cop Side Event,aaron gould,2,Aaron Gould,Mr.,Mr. Aaron Gould,1,,,2,Aaron Gould|2008|Cop Side Event
Aaron Gould,2009,Cop Side Event,2009_Cop Side Event,aaron gould,2,Aaron Gould,Mr.,Mr. Aaron Gould,1,,,2,Aaron Gould|2009|Cop Side Event
Abdalah Mokssit,2007,IPCC,2007_IPCC,abdalah mokssit,2,Abdalah Mokssit,Mr.,Mr. Abdalah Mokssit,1,,,2,Abdalah Mokssit|2007|IPCC
Abdalah Mokssit,2013,IPCC,2013_IPCC,abdalah mokssit,2,Abdalah Mokssit,Mr.,Mr. Abdalah Mokssit,1,,,2,Abdalah Mokssit|2013|IPCC
Abdon Nababan,2010,Cop Side Event,2010_Cop Side Event,abdon nababan,1,Abdon Nababan,Mr.,Mr. Abdon Nababan,4,,,2,Abdon Nababan|2010|Cop Side Event
Abdoulaye Sarr,2007,IPCC,2007_IPCC,abdoulaye sarr,2,Abdoulaye Sarr,Mr.,Mr. Abdoulaye Sarr,1,,,2,Abdoulaye Sarr|2007|IPCC
Abdoulaye Sarr,2013,IPCC,2013_IPCC,abdoulaye sarr,2,Abdoulaye Sarr,Mr.,Mr. Abdoulaye Sarr,1,,,2,Abdoulaye Sarr|2013|IPCC
Abdullatif S. Benrageb,2004,SBSTA,2004_SBSTA,abdullatif s. benrageb,4,Abdullatif S. BENRAGEB,Mr.,Mr. Abdullatif S. BENRAGEB,1,,FCCC_SBSTA_2004_13(2),3,Abdullatif S. BENRAGEB|2004|SBSTA
Abdullatif S. Benrageb,2005,SBSTA,2005_SBSTA,abdullatif s. benrageb,4,Abdullatif S. BENRAGEB,Mr.,Mr. Abdullatif S. BENRAGEB,1,,FCCC_SBSTA_2004_13(2),3,Abdullatif S. BENRAGEB|2005|SBSTA
Abdul-rahman Al-,2008,LEG,2008_LEG,abdul-rahman al-,1,Abdul-Rahman Al-,H.E. Mr.,H.E. Mr. Abdul-Rahman Al-,1,,FCCC_SBI_2008_6,2,Abdul-Rahman Al-|2008|LEG
Abdul-rahman Al-eryani,2008,LEG,2008_LEG,abdul-rahman al-eryani,1,Abdul-Rahman Al-Eryani,H.E. Mr.,H.E. Mr. Abdul-Rahman Al-Eryani,1,,FCCC_SBI_2008_6,2,Abdul-Rahman Al-Eryani|2008|LEG
Abdulwahab Al-sadoun,2012,Cop Side Event,2012_Cop Side Event,abdulwahab al-sadoun,1,Abdulwahab Al-Sadoun,Mr.,Mr. Abdulwahab Al-Sadoun,1,,,2,Abdulwahab Al-Sadoun|2012|Cop Side Event
Abias Moma Huongo,2010,Consultative group of experts,2010_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2010|Consultative group of experts
Abias Moma Huongo,2010,SBI,2010_SBI,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2010|SBI
Abias Moma Huongo,2011,Consultative group of experts,2011_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2011|Consultative group of experts
Abias Moma Huongo,2012,Consultative group of experts,2012_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2012|Consultative group of experts
Abias Moma Huongo,2012,SBSTA,2012_SBSTA,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2012|SBSTA
Abias Moma Huongo,2013,Consultative group of experts,2013_Consultative group of experts,abias moma huongo,7,Abias Moma Huongo,Mr.,Mr. Abias Moma Huongo,4,,FCCC_SBSTA_2012_2,3,Abias Moma Huongo|2013|Consultative group of experts
Abiziou Tchinguilou,2011,LEG,2011_LEG,abiziou tchinguilou,6,Abiziou Tchinguilou,M.,M. Abiziou Tchinguilou,1,,FCCC_SBI_2011_4,2,Abiziou Tchinguilou|2011|LEG
Abiziou Tchinguilou,2012,LEG,2012_LEG,abiziou tchinguilou,6,Abiziou Tchinguilou,M.,M. Abiziou Tchinguilou,1,,FCCC_SBI_2011_4,2,Abiziou Tchinguilou|2012|LEG
Abiziou Tchinguilou,2013,LEG,2013_LEG,abiziou tchinguilou,6,Abiziou Tchinguilou,M.,M. Abiziou Tchinguilou,1,,FCCC_SBI_2011_4,2,Abiziou Tchinguilou|2013|LEG
Abyd Karmali,2012,Cop Side Event,2012_Cop Side Event,abyd karmali,1,Abyd Karmali,Mr.,Mr. Abyd Karmali,9,,,2,Abyd Karmali|2012|Cop Side Event
Achim Halpaap,2009,Cop Side Event,2009_Cop Side Event,achim halpaap,1,Achim Halpaap,Mr.,Mr. Achim Halpaap,5,,,2,Achim Halpaap|2009|Cop Side Event
Achim Steiner,2011,Cop Side Event,2011_Cop Side Event,achim steiner,1,Achim Steiner,Mr.,Mr. Achim Steiner,8,,,2,Achim Steiner|2011|Cop Side Event
Adam Bumpus,2004,Cop Side Event,2004_Cop Side Event,adam bumpus,1,Adam Bumpus,Mr.,Mr. Adam Bumpus,1,,,2,Adam Bumpus|2004|Cop Side Event
